id,name,type,age,section,representation,position
TH,Thomas Hitzlsperger,0,2,1,4,1
SH,Stefan Heim,0,3,1,2,1
JR,Jochen Roettgermann,0,3,1,3,1
OS,Oliver Schraft,0,3,1,5,3
CV,Claus Vogt,0,3,2,1,1
WP,Wilfried Porth,0,4,2,6,2
RA,Rainer Adrion,0,4,2,6,3
BG,Bernd Gaiser,0,3,2,1,3
HJ,Hartmut Jenner,0,3,2,6,2
HO,Hermann Ohlicher,0,4,2,6,3
FR,Franz Reiner,0,3,2,6,3
BS,Bertram Sugg,0,3,2,6,3
RW,VfB Reha-Welt GmbH,1,KA,KA,KA,KA
NP,NeckarPark GmbH,1,KA,KA,KA,KA
SAB,VfB Stuttgart Arena Betriebs GmbH,1,KA,KA,KA,KA
SM,VfB Stuttgart Marketing GmbH,1,KA,KA,KA,KA
SB,VfB Stuttgart Beteiligungs GmbH,1,KA,KA,KA,KA
WF,Wuerttembergischer Fußballverband,1,KA,KA,KA,KA
VSD,Verband fuer Sportoekonomie und Sportmanagement Deutschland,1,KA,KA,KA,KA
SC,Sponsorcom ,1,KA,KA,KA,KA
IMG,International Management Group,1,KA,KA,KA,KA
IN,in.Stuttgart,1,KA,KA,KA,KA
GL,Geschaeftsleitung VfB,1,KA,KA,KA,KA
FIFA,FIFA,1,KA,KA,KA,KA
VfLW,VfL Wolfsburg,1,KA,KA,KA,KA
DFL,Kommission Clubmedien Deutsche Fußball Liga,1,KA,KA,KA,KA
RB,Robert Bosch GmbH,1,NA,NA,NA,NA
HK,Haniel Konzern,1,NA,NA,NA,NA
MG,Metro Group,1,NA,NA,NA,NA
IG,Intesia Group Holding GmbH,1,NA,NA,NA,NA
FC,FC PlayFair ,1,NA,NA,NA,NA
MVE,VfB Mitgliederausschuss fuer Vereinsentwicklung,1,NA,NA,NA,NA
DAG,Daimler AG,1,NA,NA,NA,NA
DFB,Deutscher Fußballbund,1,NA,NA,NA,NA
HPM,Horvarth and Partners Management Consultants,1,NA,NA,NA,NA
RH,Recaro Holding GmbH,1,NA,NA,NA,NA
PD,Praesidium VfB,1,GA,GA,GA,GA
AK,Alfred Kaercher SE und Co KG,1,NA,NA,NA,NA
TL,Totto Lotto GmbH Baden-Wuerttemberg,1,NA,NA,NA,NA
ER,Ehrenrat VfB,1,NA,NA,NA,NA
MBB,Mercedes Benz Bank AG,1,NA,NA,NA,NA
FCG,Fanclub Courage Gerlingen ,1,NA,NA,NA,NA
ARD,Fernsehsender,1,KA,KA,KA,KA
DAF,Deutsche Akademie fuer Fußballkutur,1,KA,KA,KA,KA
NLZ,Nachwuchsleistungszentrum VfB,1,KA,KA,KA,KA
FCB,FC Bayern Muenchen,1,KA,KA,KA,KA
AV,Aston Villa,1,KA,KA,KA,KA
AG,Airbus Group,1,NA,NA,NA,NA
DTA,Daimler Truck AG,1,NA,NA,NA,NA
SWM,Suedwestmetall,1,NA,NA,NA,NA
H,11hilft,1,NA,NA,NA,NA
